date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:28	4455961/4455961	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%227431723da31447fa2f1c0fe91d251a7a%22	https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js	C:/Mis%20lugares%20Web/clonacion/d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js	(from https://www.aprendekids.com/educacion2025)
23:17:29	2171975/2171975	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223830363ba83d233a37902c5c38f3e6e8%22	https://d33vglzdi1uj1c.cloudfront.net/vendors~page.2db090b28d043ba813c7.js	C:/Mis%20lugares%20Web/clonacion/d33vglzdi1uj1c.cloudfront.net/vendors_page.2db090b28d043ba813c7.js	(from https://www.aprendekids.com/educacion2025)
23:17:29	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:31%20GMT	https://www.aprendekids.com/a	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/a.1e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:29	374/374	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:17:31%20GMT	https://www.aprendekids.com/POST	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:30	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:31%20GMT	https://www.aprendekids.com/post	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/post.20.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:30	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:32%20GMT	https://www.aprendekids.com/schema.org/	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:30	414/414	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:17:32%20GMT	https://www.aprendekids.com/b.resolvedLink	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/b.21.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:31	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:32%20GMT	https://www.aprendekids.com/b.resolvedlink	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/b.resolvedlink	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:31	285522/285522	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2004:17:32%20GMT	https://www.aprendekids.com/	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:31	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:33%20GMT	https://www.aprendekids.com/signals/iwl.js	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
23:17:32	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:33%20GMT	https://www.aprendekids.com/${e}	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/${e}	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:36	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:38%20GMT	https://www.aprendekids.com/assets/images/videoplaceholderbg.png	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/assets/images/videoplaceholderbg.png	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:37	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:39%20GMT	https://www.aprendekids.com/${o.path}	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/${o.path}	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:37	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:39%20GMT	https://www.aprendekids.com/${r.path}	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/${r.path}	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
